Open time,Open,High,Low,Close,Volume,Close time
1575216000000,149.49,150.39,148.98,149.85,13620.495,1575219599999
1575219600000,149.96,150.13,149.45,150.04,15826.486,1575223199999
1575223200000,150.10,150.55,149.81,150.09,15084.232,1575226799999
1575226800000,150.09,150.25,149.23,150.06,14974.681,1575230399999
1575230400000,150.06,150.69,149.77,149.98,16067.302,1575233999999
1575234000000,150.01,151.07,149.54,150.77,17601.387,1575237599999
1575237600000,150.77,151.72,150.50,151.30,16895.295,1575241199999
1575241200000,151.31,152,150.50,150.65,17881.051,1575244799999
1575244800000,150.72,151.17,149.64,150.33,15915.698,1575248399999
1575248400000,150.31,151.30,149.80,150.86,13278.732,1575251999999
1575252000000,150.95,151.17,150.45,150.89,13963.682,1575255599999
1575255600000,150.89,150.93,149.75,149.85,17561.277,1575259199999
1575259200000,149.98,150.52,149.43,150.23,17955.687,1575262799999
1575262800000,150.24,150.35,147.42,147.97,20657.136,1575266399999
1575266400000,148,148.19,146.67,148.17,17264.731,1575269999999
1575270000000,148.17,148.38,147.61,148.31,13014.134,1575273599999
1575273600000,148.31,148.35,147.15,147.97,11248.544,1575277199999
1575277200000,147.92,149.88,147.76,149.20,15284.616,1575280799999
1575280800000,149.20,150.18,148.36,148.93,15939.240,1575284399999
1575284400000,148.87,149.26,148.19,148.84,20012.089,1575287999999
1575288000000,148.88,149.23,147.16,148.99,18901.398,1575291599999
1575291600000,148.99,149.54,148.60,149.36,14313.388,1575295199999
1575295200000,149.36,149.36,147.45,148,19585.503,1575298799999
1575298800000,147.97,148.68,147.50,148.35,15008.960,1575302399999
1575302400000,148.36,148.79,147.24,147.69,14655.429,1575305999999
1575306000000,147.68,147.78,146.90,147.51,16049.759,1575309599999
1575309600000,147.55,147.55,146.83,147.13,15480.600,1575313199999
1575313200000,147.14,147.73,146.95,147.49,17188.449,1575316799999
1575316800000,147.51,148.40,147.35,147.89,15410.832,1575320399999
1575320400000,147.96,148.56,147.81,148.39,15386.304,1575323999999
1575324000000,148.39,149.42,148.28,149.08,14061.654,1575327599999
1575327600000,149.08,149.35,148.18,148.59,27493.068,1575331199999
1575331200000,148.59,149.80,148.58,149.15,27202.639,1575334799999
1575334800000,149.15,149.44,148.39,148.68,28203.745,1575338399999
1575338400000,148.69,149.62,148.30,149.16,15626.233,1575341999999
1575342000000,149.16,149.43,148.66,149.15,14151.048,1575345599999
1575345600000,149.11,149.45,148.28,148.43,33322.323,1575349199999
1575349200000,148.38,148.95,148,148.25,36904.411,1575352799999
1575352800000,148.26,148.85,148.10,148.64,29556.668,1575356399999
1575356400000,148.64,148.65,148.18,148.33,19653.500,1575359999999
1575360000000,148.33,148.67,148.28,148.67,14636.080,1575363599999
1575363600000,148.67,148.85,146.90,147.08,18955.622,1575367199999
1575367200000,147.03,147.35,145.62,147,34628.507,1575370799999
1575370800000,147.07,147.50,146.50,146.82,18997.012,1575374399999
1575374400000,146.77,147.37,146.62,147.19,22842.801,1575377999999
1575378000000,147.13,147.67,146.95,147.44,22116.770,1575381599999
1575381600000,147.44,148.88,147.11,148.61,30458.045,1575385199999
1575385200000,148.61,148.86,147.95,148.14,20192.411,1575388799999
1575388800000,148.11,148.50,147.78,148.28,15448.331,1575392399999
1575392400000,148.18,148.47,148.02,148.08,10260.050,1575395999999
1575396000000,148.09,148.50,148.03,148.39,10911.114,1575399599999
1575399600000,148.39,148.40,147.51,147.66,14421.483,1575403199999
1575403200000,147.70,147.72,147.03,147.38,14740.355,1575406799999
1575406800000,147.39,148,147.12,147.67,14827.578,1575410399999
1575410400000,147.67,147.99,147.18,147.41,11342.797,1575413999999
1575414000000,147.46,147.54,146.99,147.10,16597.050,1575417599999
